"","date","year","quarter","age","e","u","i","eu","ei","ue","ui","ie","iu","ee","ue_s","eu_s","ei_s","ui_s","ie_s","iu_s"
"1",1995 Q4,1995,4,18,0.47675133,0.089584455,0.43293595,0.041677374,0.09202271,0.31358621,0.31037694,0.083400145,0.08278916,0.064807639,0.409981298186599,0.0629250460084186,0.0917755777105281,0.411889413107324,0.0673872314946815,0.136513635222868
"2",1995 Q4,1995,4,19,0.55600113,0.091331765,0.35302952,0.048200779,0.061123479,0.27606869,0.33556029,0.092926137,0.081251174,0.075026684,0.336995817337212,0.0697263975651589,0.0548755211048892,0.423347508823136,0.0843856632750337,0.124421371947487
"3",1995 Q4,1995,4,20,0.60248703,0.073436499,0.323006,0.031637102,0.04353388,0.35579303,0.22716999,0.082225829,0.074383326,0.064453728,0.478531526027432,0.0542608069579159,0.0404434201701473,0.354718848317326,0.0589403412372588,0.136481913168447
"4",1995 Q4,1995,4,21,0.64909178,0.061815795,0.28868636,0.023496712,0.050346397,0.33150107,0.23530075,0.12636632,0.057489,0.06565775,0.420611080140095,0.0369545060373324,0.0530589718042855,0.361282489798819,0.121952497762937,0.105042429022782
"5",1995 Q4,1995,4,22,0.69321185,0.065236308,0.24085075,0.026064552,0.030686777,0.22790484,0.2500622,0.10754821,0.061077341,0.054239664,0.255019260940515,0.0341847663570208,0.0296584530485163,0.316545631510638,0.107553259782372,0.0878445221779398
"6",1995 Q4,1995,4,23,0.73236877,0.053623084,0.21234705,0.020256523,0.028204953,0.36183569,0.24278156,0.083703622,0.063120969,0.0540406,0.481223978193451,0.0352490299793499,0.0255115626425595,0.383279515637444,0.0636087028635094,0.119212025257129
"7",1995 Q4,1995,4,24,0.76286352,0.05698381,0.17901234,0.019037427,0.022229061,0.33280328,0.22510156,0.092798285,0.086084574,0.042307891,0.424863959813125,0.0303033860415991,0.0203237884943844,0.344010915471389,0.0701157571538085,0.150001684433871
"8",1995 Q4,1995,4,25,0.78365278,0.038844172,0.17810035,0.014427442,0.015217816,0.22740462,0.3036676,0.094710499,0.043909982,0.037481643,0.249303343936314,0.0190297824606489,0.0133683091952915,0.366543533613171,0.0942655560806823,0.0631709752398324
"9",1995 Q4,1995,4,26,0.79122341,0.042655956,0.16547635,0.016724028,0.02257992,0.27594766,0.2550967,0.083800994,0.053298522,0.033144973,0.327003099180951,0.0238037746893462,0.0211333493616311,0.337498677334027,0.0772377458129071,0.0823386825431793
"10",1995 Q4,1995,4,27,0.79369605,0.041285966,0.16561499,0.011629302,0.022515681,0.22051023,0.22318198,0.085713677,0.051352564,0.038377538,0.246525481004429,0.0146928516492318,0.0228882613633361,0.277513899287745,0.0832391737435511,0.0721804239888303
"11",1995 Q4,1995,4,28,0.80299419,0.036970828,0.16138183,0.010813048,0.014982115,0.25774759,0.17235069,0.066935167,0.041040167,0.02920202,0.302419596110109,0.0148793432102486,0.0146293396866507,0.22969803836044,0.0618287163200598,0.0604162927893042
"12",1995 Q4,1995,4,29,0.80604601,0.038960595,0.15449055,0.010249308,0.018370213,0.28432581,0.15722704,0.071129531,0.062182896,0.03306232,0.343816274107586,0.0143637264044026,0.0185563028282939,0.222217218310586,0.059541797956989,0.095789334374362
"13",1995 Q4,1995,4,30,0.8078413,0.037927743,0.15388182,0.010229385,0.020604933,0.23975888,0.24172901,0.11668275,0.045067523,0.028910479,0.266079071509356,0.0133674339902203,0.0215262264526238,0.316249403386432,0.118599919567463,0.0681840296612998
"14",1995 Q4,1995,4,31,0.81113338,0.041060887,0.14681926,0.012563957,0.013577318,0.26236007,0.16373971,0.065773651,0.049215764,0.028862311,0.310019481047807,0.0174780836786447,0.0129175347839631,0.221292931687482,0.0585298366828065,0.0726285246710937
"15",1995 Q4,1995,4,32,0.79962415,0.038737588,0.16180311,0.012139997,0.022439467,0.22053312,0.21213993,0.091652967,0.045949485,0.028630873,0.246077606142363,0.0154624029837298,0.022960903274202,0.267179927877621,0.0908174082411582,0.0650815155607237
"16",1995 Q4,1995,4,33,0.81722409,0.036554743,0.1462355,0.0060269628,0.0138624,0.2565574,0.21500452,0.080167368,0.059476972,0.029842805,0.296975896309707,0.00786277205625519,0.014131823201383,0.283138406030901,0.072447350060629,0.0883880597034937
"17",1995 Q4,1995,4,34,0.81118524,0.039632373,0.14946443,0.011752686,0.015627215,0.25395435,0.16149697,0.064392701,0.05106809,0.024283383,0.298090546184764,0.0159705186664467,0.0152916880409505,0.214911313434162,0.0572279904746635,0.0740668679743709
"18",1995 Q4,1995,4,35,0.80005312,0.035814412,0.16429764,0.010015246,0.01498512,0.20700344,0.23910402,0.057276454,0.041532345,0.024010494,0.230677027401827,0.0126390138401389,0.014246845589943,0.280906637991098,0.0537830866532903,0.055644493032855
"19",1995 Q4,1995,4,36,0.79351676,0.040394455,0.16574231,0.012317705,0.015640212,0.2668595,0.2171331,0.050879173,0.053202268,0.026840352,0.317620409033276,0.0172003748558606,0.0143835103352535,0.280878660545422,0.041302881757399,0.0779412541887975
"20",1995 Q4,1995,4,37,0.81393933,0.037793744,0.14830478,0.0089064948,0.014998239,0.18512635,0.25994807,0.078647077,0.061583441,0.021624999,0.198179181051437,0.0106162278853396,0.0147724984673634,0.300581274053819,0.0756083118329991,0.0811773282928608
"21",1995 Q4,1995,4,38,0.82858706,0.033163656,0.1380444,0.0097106714,0.011785513,0.23599648,0.2479077,0.076434486,0.049262635,0.022747787,0.266697676566384,0.0128529040346207,0.0109102584991757,0.308486438151626,0.0718839011480047,0.0705254966477564
"22",1995 Q4,1995,4,39,0.82444167,0.030356338,0.14567891,0.0093785841,0.0098694572,0.21141534,0.2353798,0.071810722,0.030673029,0.019920168,0.233395633462149,0.0120778390392541,0.008997285415552,0.283266473227348,0.070856766425532,0.0421620740872518
"23",1995 Q4,1995,4,40,0.80387807,0.036634333,0.15969336,0.011449916,0.011535634,0.26448384,0.17159143,0.047271185,0.043877099,0.026698425,0.31427336817491,0.0160656327543388,0.0105547109938451,0.227062040893847,0.0395421122182511,0.0639344694179191
"24",1995 Q4,1995,4,41,0.82133609,0.032085106,0.1467419,0.012017148,0.011922101,0.31939685,0.19469652,0.06845171,0.031871118,0.024500336,0.397940895820457,0.0190367606246292,0.0105316429216304,0.286360877509061,0.0622405750645491,0.0535289359865222
"25",1995 Q4,1995,4,42,0.83078796,0.031765576,0.13765723,0.01230662,0.013719419,0.22258875,0.22265697,0.05586068,0.034902435,0.016613739,0.252374605849014,0.0161190114652099,0.0125335555409887,0.269514094620075,0.0526666799766106,0.0478746079944773
"26",1995 Q4,1995,4,43,0.83495635,0.025056768,0.13915396,0.0082000056,0.012671094,0.3051942,0.21324672,0.061330177,0.037225425,0.024368513,0.374111145718168,0.0123912719368144,0.0119375824350517,0.298549608488282,0.0537105428813779,0.0601877961182662
"27",1995 Q4,1995,4,44,0.83153141,0.031980507,0.13640524,0.010215132,0.010117019,0.23425883,0.17217703,0.058689199,0.038446747,0.019350871,0.268926039166541,0.0136087821483722,0.00942619153978985,0.21990727208902,0.0544010782058413,0.0538894096312813
"28",1995 Q4,1995,4,45,0.82172096,0.024872184,0.15358885,0.0081940321,0.012941573,0.29689348,0.24515292,0.048413519,0.029086843,0.021671411,0.36136765930029,0.0122534947055652,0.0118494310451889,0.325561834786244,0.0425804412534018,0.0457116313363602
"29",1995 Q4,1995,4,46,0.83003634,0.023033086,0.14676541,0.0092839906,0.0098000159,0.23224664,0.18804242,0.058487229,0.01535101,0.017877476,0.264826294779516,0.0124582429741029,0.00907726770232209,0.236411199968859,0.0583009502879006,0.021490653714744
"30",1995 Q4,1995,4,47,0.79925096,0.036717776,0.16441546,0.012544151,0.012181046,0.22969092,0.16480213,0.05500811,0.029770469,0.0221185,0.263619239702705,0.0166800650752287,0.011369874089597,0.208743363021656,0.0522725733363476,0.0412674934442132
"31",1995 Q4,1995,4,48,0.80363417,0.029415201,0.16696078,0.0076118042,0.01134472,0.29013789,0.15542901,0.05627951,0.042033818,0.023480363,0.35198160594363,0.0110839195951484,0.0110389047730431,0.219340215372035,0.0478500276769899,0.0651834931974391
"32",1995 Q4,1995,4,49,0.8054322,0.02137492,0.17294672,0.0073668533,0.0094526494,0.25185972,0.20712641,0.029896531,0.019180255,0.025423141,0.29529781398007,0.0101844901609379,0.00856909887905211,0.257253320799916,0.0268479356275636,0.0271641766210818
"33",1995 Q4,1995,4,50,0.79906374,0.030091487,0.1709547,0.011840958,0.014032656,0.25597057,0.16814908,0.081351511,0.024692733,0.015472357,0.297825464871124,0.0164795758745304,0.0136912940963567,0.227520204374579,0.0811938528880251,0.0368172665102627
"34",1995 Q4,1995,4,51,0.76416224,0.021091698,0.21490905,0.0060817129,0.012051403,0.24991861,0.21800129,0.059314333,0.021336095,0.023448588,0.288560367802995,0.00830000796718788,0.0117895490286041,0.275991854489902,0.057667499975817,0.0310585285008868
"35",1995 Q4,1995,4,52,0.75481033,0.023469141,0.22176664,0.0075542787,0.016742911,0.23437268,0.17908432,0.036904112,0.022638561,0.018571835,0.27133874158,0.0100187633349476,0.0164462679527345,0.221132836985015,0.0340869359858161,0.0312680110692858
"36",1995 Q4,1995,4,53,0.76073807,0.020137219,0.21910229,0.009564261,0.021405792,0.36794621,0.25582454,0.04380184,0.018921897,0.020853503,0.48946612160101,0.0171869422980118,0.0197483954109976,0.38433212203968,0.0376944545680655,0.0354333408797195
"37",1995 Q4,1995,4,54,0.73531508,0.020250812,0.24420038,0.0082649207,0.016829565,0.18183538,0.31328812,0.040269211,0.020159457,0.020058153,0.198298758192539,0.0101637693840849,0.0158419943674066,0.334318555773881,0.0392534646689047,0.0257501129603976
"38",1995 Q4,1995,4,55,0.70890635,0.023977397,0.26734701,0.0088237515,0.02083333,0.23978816,0.16884848,0.060178727,0.0075154081,0.01523778,0.277008013272326,0.0120464936948012,0.0211085066928943,0.21587338587607,0.0617540041289817,0.0105073300148403
"39",1995 Q4,1995,4,56,0.68003851,0.020793639,0.29944098,0.0085619809,0.023543179,0.35745624,0.098802887,0.034069374,0.010739566,0.024844464,0.472336517230603,0.0150014003840981,0.0236246264330146,0.15818841618915,0.0311017890802904,0.0192451901498134
"40",1995 Q4,1995,4,57,0.63693589,0.026565865,0.33682227,0.010633241,0.021403944,0.1510537,0.23117208,0.02378433,0.020386048,0.018237231,0.164634686115677,0.0125503995882886,0.0204989588991573,0.245105352612197,0.0225246466365577,0.0245119422782193
"41",1995 Q4,1995,4,58,0.6438331,0.021452017,0.33450034,0.0083655976,0.028867461,0.35157132,0.23424064,0.043139756,0.02093723,0.021056388,0.459584858490476,0.0141241147322276,0.0283228912614168,0.342510028682652,0.0371274561739083,0.0373925841757754
"42",1995 Q4,1995,4,59,0.62251651,0.016014833,0.36104953,0.0082162861,0.018694146,0.20594881,0.28071633,0.03042694,0.0057928353,0.019763608,0.231694932677829,0.0106321377766647,0.0177056794200173,0.310799319758405,0.0305184027904636,0.00752500198992012
"43",1995 Q4,1995,4,60,0.58893746,0.020050563,0.39153138,0.0082121268,0.029194241,0.2817784,0.22580829,0.030009832,0.016198078,0.022210449,0.342687178866759,0.0119081633113757,0.0287185421454033,0.287046751113399,0.02717354340686,0.024281443646084
"44",1995 Q4,1995,4,61,0.52128565,0.017132148,0.46183565,0.01197069,0.033213641,0.28648245,0.33424467,0.024379034,0.012085563,0.01242164,0.350826117515852,0.0178367151641162,0.0308797400451244,0.396598246508401,0.0222903947282302,0.018147015632186
"45",1995 Q4,1995,4,62,0.43148714,0.01003768,0.55835748,0.0039299829,0.062563598,0.17953251,0.38712096,0.024899649,0.0075241886,0.02178178,0.200960509556822,0.00471141818526366,0.0633819391392068,0.38491179121868,0.0251967818161088,0.00948789262394656
"46",1995 Q4,1995,4,63,0.38035479,0.011220725,0.60838634,0.006817665,0.047970384,0.33603096,0.38711947,0.024258865,0.0094754985,0.013822113,0.434491693843732,0.0112195883606517,0.0468768093537218,0.477135839653004,0.0220556018596968,0.015987471313355
"47",1995 Q4,1995,4,64,0.34159365,0.0099091269,0.6487835,0.0065736147,0.069169044,0.25782427,0.25951025,0.027758606,0.002689366,0.027838225,0.311627728586472,0.00947383167347648,0.0701265895216744,0.303788876182015,0.0287493839837376,0.00374754529067478
"48",1995 Q4,1995,4,65,0.25793365,0.012297672,0.72833276,0.013456988,0.082938045,0.10487209,0.43201679,0.028110197,0.0039821584,0.020274796,NA,NA,NA,NA,NA,NA
"49",1995 Q4,1995,4,66,0.24856034,0.0073649501,0.7443105,0.0024986721,0.098223165,0.12861831,0.55279195,0.023597291,0.0042889663,0.014912181,NA,NA,NA,NA,NA,NA
"50",1995 Q4,1995,4,67,0.20391287,0.0059335586,0.78928787,0.0093622357,0.10080487,0.17546314,0.64221269,0.018610366,0.0028781355,0.023368593,NA,NA,NA,NA,NA,NA
